F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,prob1,prob2,classLabel
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.30972058,0.6912681,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0,1,0,NoBug
0,1,1,1,297,13787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,177,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,2.64E-04,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,1.39E-05,Bug
0,1,1,1,235,3817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.83E-06,NoBug
0,1,1,1,218,261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,32,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,1,0,NoBug
0,1,1,1,244,668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,38,255,1,0,0.03,0.01,0,0,0,0,1.00E+00,3.85E-05,Bug
10,11,11,11,255,672,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,41,45,10,10,10,10,11,10,10.09,72,265,11,10,10.02,10.01,10,10,10,10,0.19339135,0.8066435,NoBug
0,1,1,1,321,2060,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,1,0,0.11,8,255,1,0,0.12,0.03,0,0,0,0,1.00E+00,1.10E-05,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,8.94E-08,NoBug
0,1,1,1,236,3665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.28E-04,Bug
10,11,11,11,309,2188,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,12,248,11,10,10.5,10.05,10,10,10,10,0.19984597,0.8001462,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10.01,10,10,10,10,10,0.20372033,0.7963379,NoBug
0,1,49,1,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,77,33,0.34,0.08,0.34,0.06,0,0,0,0,0.99820495,0.00184736,NoBug
11,11,29,11,1671,340,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,13,10,10,10,10,11,10,11,182,136,10.37,10.04,10.01,10.02,10.01,10,10.02,10.02,0.20298883,0.7961376,NoBug
0,1,1,1,291,3542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,187,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,4.83E-06,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,2.00E-06,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.18525362,0.81469166,NoBug
10,11,11,11,226,7514,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,30,31,10,10,10,10,11,10,10.1,265,265,11,10,10,10,10,10,10,10,0.1882149,0.8118327,NoBug
0,1,1,1,249,198,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.41E-06,Bug
0,1,19,1,764,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,159,0.83,0.25,0.08,0.01,0,0,0,0,1.00E+00,8.94E-07,Bug
10,11,59,11,35205,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,11,10,10,102,54,10.43,10.07,10.43,10.05,10,10,10,10,0.19715545,0.80269784,NoBug
10,11,11,11,250,2182,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,69,69,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.20231879,0.7976181,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.18525362,0.81469166,NoBug
0,1,1,1,291,3542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,187,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,3.63E-04,Bug
0,1,1,1,222,19564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,0.9981241,0.00188139,Bug
0,1,29,1,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.11,0.56,0,25,1,0.04,0.4,0.76,0,0,0,0,0,0.84743035,0.1496563,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,2.00E-06,NoBug
10,11,11,11,226,7514,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,30,31,10,10,10,10,11,10,10.1,265,265,11,10,10,10,10,10,10,10,0.19293478,0.80707926,NoBug
10,11,11,11,305,763,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,31,32,10,10,10,10,11,10,10.09,206,265,11,10,10.01,10.01,10,10,10,10,0.18958783,0.8102337,NoBug
1,1,19,1,1018,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,112,1,0,1,0.02,0,0,0,0,1.00E+00,3.89E-05,Bug
10,11,11,11,232,19574,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,32,33,10,10,10,10,11,10,10.09,265,265,11,10,10,10,10,10,10,10,0.20283371,0.7970679,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.10E-06,NoBug
10,11,11,11,327,288,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,13,13,10,10,10,10,11,10,10,202,265,11,10,10.01,10.04,10,10,10,10,0.20377943,0.794184,Bug
20,1,50,1,232,765,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0.5,1,0,179,48,0.27,0.04,0.01,0,0.01,0.02,0.02,0,0.92278576,0.07380038,Bug
0,1,1,1,227,8841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,9.99E-01,7.06E-04,Bug
10,11,11,11,245,705,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,23,23,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.19401994,0.8058652,Bug
10,11,11,11,322,687,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,19,47,10,10,10,10,11,10,10.11,32,265,11,10,10.05,10.04,10,10,10,10,0.9969953,0.00274509,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,252,0.99,0.01,0,0,0,0,0,0,1.00E+00,2.98E-08,Bug
10,11,59,11,750,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,87,43,10.34,10.08,10.34,10.06,10,10,10,10,0.18750364,0.8122121,Bug
1,1,19,1,1018,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,112,1,0,1,0.02,0,0,0,0,1.00E+00,1.71E-05,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.1885592,0.8117421,NoBug
0,1,1,1,291,3542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,187,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,4.57E-04,Bug
10,12,67,11,53,117,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,15,10,10,10,10,11,10,10.4,265,248,10.93,10.01,10,10,10,10,10,10,0.19395438,0.8053715,Bug
0,1,1,1,321,2060,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,1,0,0.11,8,255,1,0,0.12,0.03,0,0,0,0,1.00E+00,1.19E-07,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.9660562,0.03790227,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19795004,0.8020115,Bug
0,2,57,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,10,3,0.3,0.3,0.3,0,0,0,0,0,1.00E+00,6.22E-05,Bug
10,11,11,11,323,5391,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,11,265,11,10,11,10.01,10,10,10,10,0.19527504,0.8046324,Bug
10,11,11,11,240,270,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,29,10,10,10,10,11,10,10.11,13,265,11,10,10.33,10.07,10.33,10,10,10,0.18958783,0.8102337,NoBug
0,1,1,1,244,668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,38,255,1,0,0.03,0.01,0,0,0,0,1,0,NoBug
1,1,19,1,1661,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,172,126,0.37,0.04,0.01,0.02,0.01,0,0.02,0.02,1.00E+00,9.83E-05,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1,0,NoBug
0,1,1,1,240,2172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,59,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,1.12E-04,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,263,10.99,10.01,10,10,10,10,10,10,0.19401994,0.8058652,Bug
10,11,11,11,233,195,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,14,14,10,10,10,10,11,10,10,81,265,11,10,10.01,10.01,10,10,10,10,0.19527504,0.8046324,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19672236,0.8031583,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.9415418,0.06151122,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.18750364,0.8122121,Bug
10,11,11,11,307,13797,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,187,265,11,10,10.01,10.01,10,10,10,10,0.19672236,0.8031583,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,1.28E-05,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,263,10.99,10.01,10,10,10,10,10,10,0.19230813,0.8077303,NoBug
0,1,1,1,307,1528,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,3.87E-07,NoBug
0,1,1,1,237,675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.98E-08,NoBug
10,12,67,11,39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,11,10,10,10,10,10.5,11,10,20,13,10.3,10.3,10.3,10,10,10,10,10,0.03109261,0.9699391,Bug
10,11,11,11,244,14507,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,13,34,10,10,10,10,11,10,10.12,265,265,11,10,10,10,10,10,10,10,0.19672236,0.8031583,NoBug
10,11,59,11,750,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,87,43,10.34,10.08,10.34,10.06,10,10,10,10,0.16903496,0.83128107,Bug
10,12,67,11,53,117,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,15,10,10,10,10,11,10,10.4,265,248,10.93,10.01,10,10,10,10,10,10,0.93088615,0.07213303,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.20372033,0.7963379,NoBug
0,1,1,1,227,8841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,8.13E-05,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0,1.00E+00,3.28E-07,NoBug
10,11,59,11,262,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,19,48,10.33,10.22,10.33,10.08,10,10,10.11,10,0.20442286,0.79546654,NoBug
10,11,11,11,332,690,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,16,18,10,10,10,10,11,10,10.25,16,265,11,10,10.17,10.04,10,10,10,10,0.19651207,0.8037858,NoBug
20,1,50,1,232,765,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0.5,1,0,179,48,0.27,0.04,0.01,0,0.01,0.02,0.02,0,1.00E+00,1.52E-04,Bug
0,1,1,1,245,4199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,9.99E-01,5.44E-04,Bug
0,1,1,1,291,1010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,12,238,1,0,0.08,0.05,0,0,0,0,1,0,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19756952,0.8024992,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,0.99999994,0,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19906855,0.80090237,NoBug
0,1,1,1,216,7504,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,21,0,0,0,0,1,0,0.1,255,255,1,0,0,0,0,0,0,0,1.00E+00,5.16E-05,Bug
10,11,11,11,317,1538,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,17,17,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.18624008,0.8132745,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,1.88E-06,Bug
11,11,29,11,1028,343,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,13,10,10,10,10,11,10,11,11,122,11,10,11,10.02,10,10,10,10,0.19033524,0.8099015,Bug
0,1,1,1,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,1.79E-07,Bug
10,11,11,11,307,13797,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,187,265,11,10,10.01,10.01,10,10,10,10,0.19715545,0.80269784,NoBug
10,11,11,11,285,535,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,26,10,10,10,10,11,10,10.19,12,265,11,10,10.5,10.05,10,10,10,10,0.19795004,0.8020115,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,262,10.99,10.01,10,10,10,10,10,10,0.9415418,0.06151122,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.9860511,0.01765624,Bug
0,1,1,1,235,695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,0,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19529879,0.8039708,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.11E-05,Bug
0,1,49,1,35195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,92,44,0.43,0.07,0.43,0.05,0,0,0,0,0.9923886,0.00806385,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,1.07E-06,NoBug
0,1,49,1,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,24,49,0.67,0.08,0.67,0.04,0,0,0,0,6.60E-05,1.00E+00,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10.01,10,10,10,10,10,0.9660562,0.03790227,Bug
10,11,11,11,237,8851,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,23,23,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.19795004,0.8020115,Bug
1,1,19,1,1018,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,112,1,0,1,0.02,0,0,0,0,1.00E+00,4.05E-06,Bug
0,1,1,1,249,198,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.09E-07,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10.01,10,10,10,10,10,0.1885592,0.8117421,NoBug
0,1,1,1,237,675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.09E-07,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10.01,10,10,10,10,10,0.20231879,0.7976181,Bug
0,1,1,1,245,4199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,8.23E-06,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,263,10.99,10.01,10,10,10,10,10,10,0.19293478,0.80707926,NoBug
10,11,11,11,247,685,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,51,51,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.18750364,0.8122121,Bug
0,1,1,1,227,8841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,0.9982352,0.00177446,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,3.01E-06,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19026366,0.8094211,Bug
10,11,11,11,255,4209,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,18,18,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.19339135,0.8066435,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19984597,0.8001462,Bug
0,1,1,1,235,3817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,1.98E-04,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,2.62E-06,Bug
0,1,1,1,295,753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,1,0,0.09,196,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,1.19E-07,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.19395429,0.8064493,NoBug
10,11,11,11,323,5391,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,11,265,11,10,11,10.01,10,10,10,10,0.19984597,0.8001462,Bug
10,11,11,11,301,3552,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,22,22,10,10,10,10,11,10,10,197,265,11,10,10.01,10.01,10,10,10,10,0.19033524,0.8099015,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,1.06E-05,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0,1.00E+00,2.09E-07,NoBug
10,11,29,11,569,346,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,94,186,10.75,10.08,10.01,10.01,10.01,10.01,10.08,10.05,0.18624008,0.8132745,NoBug
10,11,11,11,226,7514,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,30,31,10,10,10,10,11,10,10.1,265,265,11,10,10,10,10,10,10,10,0.19230813,0.8077303,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,2.68E-07,NoBug
10,11,11,11,305,763,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,31,32,10,10,10,10,11,10,10.09,206,265,11,10,10.01,10.01,10,10,10,10,0.19906855,0.80090237,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,10,10,265,263,10.99,10.01,10,10,10,10,10,10,0.19795004,0.8020115,Bug
0,1,1,1,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1.00E+00,2.38E-07,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,262,10.99,10.01,10,10,10,10,10,10,0.19026366,0.8094211,Bug
0,1,49,1,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,14,39,0.43,0.14,0.43,0.05,0,0,0,0,0.9982361,0.00171831,Bug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,262,10.99,10.01,10,10,10,10,10,10,0.19672236,0.8031583,NoBug
10,11,11,11,237,192,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,18,18,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.18624008,0.8132745,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,3.01E-06,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,252,0.99,0.01,0,0,0,0,0,0,1.00E+00,1.19E-07,Bug
0,1,1,1,299,2178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,238,1,0,0.5,0.05,0,0,0,0,1.00E+00,2.21E-05,Bug
11,11,29,11,3180,339,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,12,10,10,10,10,11,10,11,64,49,10.72,10.11,10.02,10,10.02,10,10.09,10.13,0.20283371,0.7970679,NoBug
10,11,11,11,317,1538,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,17,17,10,10,10,10,11,10,10,265,265,11,10,10,10,10,10,10,10,0.19293478,0.80707926,NoBug
10,12,34,11,115,156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,11,10,10,265,264,11,10.01,10,10,10,10,10,10,0.18958783,0.8102337,NoBug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,1.29E-05,Bug
